country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","27-01-2026 09:00:00",17.72,83.3,CO,10,66,40
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","27-01-2026 09:00:00",27.103358,93.679645,PM2.5,54,409,156
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","27-01-2026 09:00:00",27.103358,93.679645,CO,12,68,16
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","27-01-2026 09:00:00",26.071318,91.87488,PM2.5,91,204,137
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","27-01-2026 09:00:00",26.071318,91.87488,OZONE,13,23,16
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","27-01-2026 09:00:00",26.10887,91.589544,NO2,13,18,15
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","27-01-2026 09:00:00",26.181742,91.78063,PM2.5,88,387,232
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","27-01-2026 09:00:00",26.349082,92.68449,NH3,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","27-01-2026 09:00:00",26.349082,92.68449,SO2,NA,NA,NA
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","27-01-2026 09:00:00",25.697189,85.245900,CO,20,71,48
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","27-01-2026 09:00:00",25.697189,85.245900,OZONE,3,111,7
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","27-01-2026 09:00:00",25.560083,87.553265,PM2.5,37,103,73
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","27-01-2026 09:00:00",25.560083,87.553265,SO2,14,19,16
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","27-01-2026 09:00:00",25.560083,87.553265,CO,56,78,67
