PM2.5,PM10,NO2,SO2,CO,O3,AQI
28.59,60.95,24.08,2.73,0.69,26.84,60.95
17.29,47.08,28.58,2.03,0.62,19.11,47.08
18.01,48.72,22.37,2.8,0.57,21.3,48.72
44.17,90.06,27.84,2.37,0.76,27.72,90.06
53.99,101.56,30.71,9.12,0.38,28.79,101.37208053691275
42.32,86.37,29.94,5.66,1.64,26.5,86.37
39.04,82.92,28.17,2.05,0.13,26.49,82.92
21.49,68.85,29.62,1.86,0.2,25.71,68.85
23.77,77.54,33.45,2.62,0.43,26.42,77.54
17.58,69.08,28.31,3.05,0.28,23.03,69.08
21.47,74.31,28.95,2.53,0.41,24.41,74.31
24.11,74.17,27.05,3.02,0.3,28.4,74.17
17.46,59.15,24.99,2.86,0.32,22.05,59.15
13.42,59.1,22.15,1.94,0.23,24.77,59.1
16.2,60.78,24.84,3.31,0.34,23.01,60.78
32.82,93.52,31.05,3.06,0.65,32.23,93.52
22.79,66.29,3.07,2.6,0.27,39.04,66.29
30.52,87.99,1.43,3.0,0.47,38.33,87.99
29.28,67.9,1.42,2.86,0.38,33.93,67.9
30.52,68.64,1.41,2.3,0.49,37.21,68.64
22.27,57.42,1.67,2.97,0.4,35.69,57.42
19.93,52.38,1.4,1.98,0.36,34.32,52.38
22.04,56.8,1.44,2.31,0.29,35.43,56.8
26.23,64.73,1.57,3.37,0.25,41.02,64.73
28.08,60.88,4.75,3.05,0.25,47.42,60.88
33.8,69.49,38.73,3.43,0.54,48.68,69.49
29.84,61.66,50.08,4.47,0.35,44.65,62.408205128205125
36.32,66.89,50.27,3.06,0.46,48.77,66.89
38.52,75.01,49.75,2.5,0.38,43.98,75.01
37.67,70.66,49.68,2.64,0.36,44.96,70.66
33.02,65.82,50.36,7.6,0.75,36.85,65.82
33.7,64.36,58.14,3.1,0.57,33.76,72.53487179487179
26.93,54.44,54.31,2.46,0.5,31.91,67.72282051282052
23.72,63.2,53.4,2.36,0.59,33.48,66.57948717948717
16.9,36.86,61.92,2.59,0.6,39.89,77.28410256410257
19.34,44.91,47.31,1.47,0.73,55.98,58.92794871794872
24.35,57.76,55.84,3.89,0.57,30.3,69.6451282051282
16.32,37.23,101.81,4.87,0.83,13.84,121.81
16.85,40.25,82.22,4.41,0.34,7.87,102.22
24.79,54.04,35.52,4.76,0.29,7.25,54.04
28.19,61.77,29.16,5.29,0.55,9.86,61.77
29.01,71.52,28.37,5.46,0.26,12.32,71.52
26.2,65.72,26.87,5.81,0.32,12.79,65.72
28.75,64.68,27.73,6.07,0.48,14.24,64.68
31.33,69.3,26.89,4.87,0.43,13.29,69.3
32.08,64.72,48.3,4.75,0.08,2.64,64.72
22.5,53.02,39.32,4.29,0.15,4.08,53.02
18.4,48.34,35.94,4.63,0.18,4.54,48.34
13.16,34.2,35.41,3.78,0.82,4.66,44.262499999999996
16.76,42.01,32.07,4.15,0.17,6.88,42.01
19.94,56.68,29.9,6.19,0.42,8.43,56.68
21.58,55.99,28.81,5.33,0.31,12.09,55.99
23.94,68.19,28.07,6.46,0.48,13.45,68.19
22.7,54.84,26.39,5.0,0.4,16.22,54.84
15.06,51.22,25.14,5.67,0.42,16.9,51.22
17.12,53.34,27.51,4.44,0.15,17.14,53.34
11.31,36.0,26.2,4.49,0.24,28.27,36.0
16.38,45.7,26.87,4.96,0.37,33.95,45.7
16.73,34.64,26.17,4.75,1.06,29.9,34.64
19.67,52.01,27.73,5.36,0.57,36.6,52.01
27.05,71.62,27.99,5.36,0.32,39.51,71.62
23.11,64.2,26.03,5.0,0.46,47.03,64.2
26.33,74.26,25.71,5.27,0.39,53.1,74.26
19.07,55.89,23.59,4.42,0.39,46.85,55.89
21.99,60.77,24.7,5.12,0.32,40.56,60.77
20.82,57.57,23.36,5.13,0.27,42.3,57.57
18.78,56.02,22.71,5.94,0.11,45.99,56.02
13.61,40.24,25.54,5.64,0.38,34.72,40.24
20.55,65.51,28.22,5.67,0.05,12.64,65.51
18.05,59.02,26.53,4.23,0.14,17.0,59.02
12.9,51.49,24.08,6.24,0.12,22.32,51.49
15.98,49.77,24.58,5.62,0.12,22.12,49.77
12.68,47.55,23.98,5.81,0.23,28.64,47.55
18.22,52.81,25.21,5.74,0.31,35.58,52.81
21.48,70.76,24.29,5.17,0.32,44.16,70.76
19.76,67.21,23.2,5.52,0.29,48.19,67.21
33.84,122.16,26.28,9.84,0.42,47.66,115.0593288590604
26.98,112.53,23.41,8.14,0.24,42.55,108.66087248322148
22.95,104.22,25.21,12.51,0.27,43.27,103.13946308724832
31.7,129.65,30.47,11.06,0.41,42.16,120.03590604026846
35.74,135.52,28.63,8.48,0.4,55.42,123.93610738255035
31.98,109.0,21.57,6.38,0.36,69.22,106.31543624161074
29.18,92.02,18.97,6.73,0.31,61.13,92.02
27.61,82.03,18.86,6.13,0.28,58.98,82.03
24.85,81.71,19.5,5.63,0.26,58.91,81.71
22.01,90.54,20.64,5.84,0.32,44.56,90.54
14.92,72.45,21.37,5.63,0.16,42.43,72.45
13.15,50.69,25.63,5.13,0.27,45.62,45.62
18.5,57.96,28.38,5.22,0.35,33.41,57.96
8.15,23.88,22.54,5.75,0.17,13.5,28.174999999999997
11.92,28.98,21.6,4.34,0.15,21.18,28.98
16.4,65.14,23.78,5.5,0.19,20.85,65.14
23.05,69.36,22.76,4.24,0.21,18.19,69.36
18.93,47.18,22.0,4.13,0.23,19.36,47.18
20.29,62.91,19.43,3.74,0.21,19.24,62.91
17.26,45.46,21.92,4.81,0.24,27.04,45.46
19.32,37.57,21.97,3.86,0.31,26.86,37.57
16.07,36.01,19.45,4.11,0.22,8.18,36.01
